symbol,spike_factor,avg_period,proximity,profit,total_trades,win_rate,max_drawdown_pct
SYM1,1.4,10,0.001,-0.03579139238047446,6,16.666666666666664,0.034550575790848984
SYM1,1.4,10,0.002,-0.03579139238047446,6,16.666666666666664,0.034550575790848984
SYM1,1.4,10,0.005,-0.03579139238047446,6,16.666666666666664,0.034550575790848984
SYM1,1.4,20,0.001,0.037340589512382394,5,20.0,0.02723964268517535
SYM1,1.4,20,0.002,0.037340589512382394,5,20.0,0.02723964268517535
SYM1,1.4,20,0.005,0.037340589512382394,5,20.0,0.02723964268517535
SYM1,1.4,50,0.001,-0.13523133321814385,7,14.285714285714285,0.044491489966569014
SYM1,1.4,50,0.002,-0.13523133321814385,7,14.285714285714285,0.044491489966569014
SYM1,1.4,50,0.005,-0.13523133321814385,7,14.285714285714285,0.044491489966569014
SYM1,1.6,10,0.001,0.23974947510055244,1,100.0,0.009697660802945427
SYM1,1.6,10,0.002,0.23974947510055244,1,100.0,0.009697660802945427
SYM1,1.6,10,0.005,0.23974947510055244,1,100.0,0.009697660802945427
SYM1,1.6,20,0.001,0.23974947510055244,1,100.0,0.009697660802945427
SYM1,1.6,20,0.002,0.23974947510055244,1,100.0,0.009697660802945427
SYM1,1.6,20,0.005,0.23974947510055244,1,100.0,0.009697660802945427
SYM1,1.6,50,0.001,0.13880161158488136,1,100.0,0.009640204150314538
SYM1,1.6,50,0.002,0.13880161158488136,1,100.0,0.009640204150314538
SYM1,1.6,50,0.005,0.13880161158488136,1,100.0,0.009640204150314538
SYM1,1.8,10,0.001,0.1965767451524698,1,100.0,0.009667305245473701
SYM1,1.8,10,0.002,0.1965767451524698,1,100.0,0.009667305245473701
SYM1,1.8,10,0.005,0.1965767451524698,1,100.0,0.009667305245473701
SYM1,1.8,20,0.001,0.0,0,0.0,0.0
SYM1,1.8,20,0.002,0.0,0,0.0,0.0
SYM1,1.8,20,0.005,0.0,0,0.0,0.0
SYM1,1.8,50,0.001,0.0,0,0.0,0.0
SYM1,1.8,50,0.002,0.0,0,0.0,0.0
SYM1,1.8,50,0.005,0.0,0,0.0,0.0
SYM1,2.0,10,0.001,0.0,0,0.0,0.0
SYM1,2.0,10,0.002,0.0,0,0.0,0.0
SYM1,2.0,10,0.005,0.0,0,0.0,0.0
SYM1,2.0,20,0.001,0.0,0,0.0,0.0
SYM1,2.0,20,0.002,0.0,0,0.0,0.0
SYM1,2.0,20,0.005,0.0,0,0.0,0.0
SYM1,2.0,50,0.001,0.0,0,0.0,0.0
SYM1,2.0,50,0.002,0.0,0,0.0,0.0
SYM1,2.0,50,0.005,0.0,0,0.0,0.0
SYM2,1.4,10,0.001,-0.02841039418831315,5,20.0,0.03403093524133094
SYM2,1.4,10,0.002,-0.02841039418831315,5,20.0,0.03403093524133094
SYM2,1.4,10,0.005,-0.02841039418831315,5,20.0,0.03403093524133094
SYM2,1.4,20,0.001,-0.12435251243221046,6,16.666666666666664,0.04428072026398671
SYM2,1.4,20,0.002,-0.12435251243221046,6,16.666666666666664,0.04428072026398671
SYM2,1.4,20,0.005,-0.12435251243221046,6,16.666666666666664,0.04428072026398671
SYM2,1.4,50,0.001,-0.1947406683390227,6,16.666666666666664,0.049318486566879156
SYM2,1.4,50,0.002,-0.1947406683390227,6,16.666666666666664,0.049318486566879156
SYM2,1.4,50,0.005,-0.1947406683390227,6,16.666666666666664,0.049318486566879156
SYM2,1.6,10,0.001,0.23804776746715106,1,100.0,0.009772104859307646
SYM2,1.6,10,0.002,0.23804776746715106,1,100.0,0.009772104859307646
SYM2,1.6,10,0.005,0.23804776746715106,1,100.0,0.009772104859307646
SYM2,1.6,20,0.001,0.23804776746715106,1,100.0,0.009772104859307646
SYM2,1.6,20,0.002,0.23804776746715106,1,100.0,0.009772104859307646
SYM2,1.6,20,0.005,0.23804776746715106,1,100.0,0.009772104859307646
SYM2,1.6,50,0.001,0.23804776746715106,1,100.0,0.009772104859307646
SYM2,1.6,50,0.002,0.23804776746715106,1,100.0,0.009772104859307646
SYM2,1.6,50,0.005,0.23804776746715106,1,100.0,0.009772104859307646
SYM2,1.8,10,0.001,0.02672672489939032,1,100.0,0.009142451482822271
SYM2,1.8,10,0.002,0.02672672489939032,1,100.0,0.009142451482822271
SYM2,1.8,10,0.005,0.02672672489939032,1,100.0,0.009142451482822271
SYM2,1.8,20,0.001,0.0,0,0.0,0.0
SYM2,1.8,20,0.002,0.0,0,0.0,0.0
SYM2,1.8,20,0.005,0.0,0,0.0,0.0
SYM2,1.8,50,0.001,0.0,0,0.0,0.0
SYM2,1.8,50,0.002,0.0,0,0.0,0.0
SYM2,1.8,50,0.005,0.0,0,0.0,0.0
SYM2,2.0,10,0.001,0.0,0,0.0,0.0
SYM2,2.0,10,0.002,0.0,0,0.0,0.0
SYM2,2.0,10,0.005,0.0,0,0.0,0.0
SYM2,2.0,20,0.001,0.0,0,0.0,0.0
SYM2,2.0,20,0.002,0.0,0,0.0,0.0
SYM2,2.0,20,0.005,0.0,0,0.0,0.0
SYM2,2.0,50,0.001,0.0,0,0.0,0.0
SYM2,2.0,50,0.002,0.0,0,0.0,0.0
SYM2,2.0,50,0.005,0.0,0,0.0,0.0
SYM3,1.4,10,0.001,-0.07917165945707438,7,14.285714285714285,0.041927046501704306
SYM3,1.4,10,0.002,-0.07917165945707438,7,14.285714285714285,0.041927046501704306
SYM3,1.4,10,0.005,-0.07917165945707438,7,14.285714285714285,0.041927046501704306
SYM3,1.4,20,0.001,0.006968924373836671,5,20.0,0.03331591798154474
SYM3,1.4,20,0.002,0.006968924373836671,5,20.0,0.03331591798154474
SYM3,1.4,20,0.005,0.006968924373836671,5,20.0,0.03331591798154474
SYM3,1.4,50,0.001,0.026998179696875013,5,40.0,0.032341862262944936
SYM3,1.4,50,0.002,0.026998179696875013,5,40.0,0.032341862262944936
SYM3,1.4,50,0.005,0.026998179696875013,5,40.0,0.032341862262944936
SYM3,1.6,10,0.001,0.08557283932441351,3,33.33333333333333,0.021097164124572982
SYM3,1.6,10,0.002,0.08557283932441351,3,33.33333333333333,0.021097164124572982
SYM3,1.6,10,0.005,0.08557283932441351,3,33.33333333333333,0.021097164124572982
SYM3,1.6,20,0.001,0.21091479821825487,1,100.0,0.00963507970586474
